name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
(Renewed) Inalsa Handy Steam 600-Watt Garment Steamer (White/Purple),"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/51RsURC5EuL._AC_UL320_.jpg,https://www.amazon.in/CERTIFIED-REFURBISHED-Inalsa-Handy-600-Watt/dp/B07H1FDN1G/ref=sr_1_193?qid=1679214940&s=kitchen&sr=1-193,3.1,9,"₹1,199","₹1,499"
(Renewed) USHA Cook Joy (3820) 2000-Watt Glass Induction Cooktop with Touch (Black),"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/31Nm+Di1mPL._AC_UL320_.jpg,https://www.amazon.in/Renewed-USHA-2000-Watt-Induction-Cooktop/dp/B09ZPP46V9/ref=sr_1_194?qid=1679214940&s=kitchen&sr=1-194,,,"₹3,450","₹5,590"
USHA (Renewed) Colossus Rust Free Aluminium Blade 400mm Wall Fan (Blue),"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/71klew1PDYL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Colossus-Aluminium-Blade-400mm/dp/B08NTGD9VQ/ref=sr_1_195?qid=1679214940&s=kitchen&sr=1-195,4.1,4,"₹3,316","₹3,685"
(Renewed) HUL Pureit Advanced Pro Mineral RO+UV 6 Stage Wall Mounted Counter top Black 7L Water Purifier,"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/51E6zXJ1g+L._AC_UL320_.jpg,https://www.amazon.in/Renewed-HUL-Pureit-Advanced-Purifier/dp/B08KXXN5T3/ref=sr_1_196?qid=1679214940&s=kitchen&sr=1-196,3.9,12,"₹8,541","₹9,290"
"(Renewed) Morphy Richards Salvo Storage 6-Litre Vertical Water Heater, White, 5 Star","home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/51W56Zj87GL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Morphy-Richards-Storage-Vertical/dp/B08KH5WGGZ/ref=sr_1_197?qid=1679214940&s=kitchen&sr=1-197,3.5,2,"₹6,549","₹7,999"
(Renewed) Microtek EM4150+ 150V-280V Digital Display Voltage Stabilizer (Grey) for AC upto 1.5 Ton,"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/41how8rh8YL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Microtek-EM4150-150V-280V-Stabilizer/dp/B07P66ZJP7/ref=sr_1_198?qid=1679214940&s=kitchen&sr=1-198,4.0,3,,
(Renewed) Usha FH 3628 PTC 1800-Watt Fan Heater (Black),"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/61K+xiVRqTL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Usha-FH-1800-Watt-Heater/dp/B07MX7P54B/ref=sr_1_199?qid=1679214940&s=kitchen&sr=1-199,2.9,5,"₹2,835","₹3,149"
(Renewed) Morphy Richards 1.8-Litre Rice Cooker (White),"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/41ub7mSRSFL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Morphy-Richards-1-8-Litre-Cooker/dp/B0BFXHYZKK/ref=sr_1_200?qid=1679214940&s=kitchen&sr=1-200,,,"₹2,399","₹3,410"
(Renewed) IMPACT BY HONEYWELL 5MP high Resolution Bullet CCTV Camera I AHD 4 in 1 Outdoor Camera I 3.6MM Lens Up to 20M IR...,"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/41hmV5i8iaL._AC_UL320_.jpg,https://www.amazon.in/IMPACT-HONEYWELL-Resolution-Housing-White-I-HABC-5005PI/dp/B0B7DZG67J/ref=sr_1_201?qid=1679214940&s=kitchen&sr=1-201,3.0,2,"₹2,328","₹2,799"
(Renewed) Crompton Greaves Drift Air Plus Exhaust Fan - 300 mm (Silver) (DRIFTAIRPLUS12OPW),"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/51La6qb9f1S._AC_UL320_.jpg,https://www.amazon.in/Renewed-Crompton-Greaves-Drift-Exhaust/dp/B09WRD1WR8/ref=sr_1_202?qid=1679214940&s=kitchen&sr=1-202,,,"₹1,800","₹2,000"
(Renewed) Havells Feasto 1350W 4 Slice Pop-up Toaster (Black),"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/51I1KBj3q9L._AC_UL320_.jpg,https://www.amazon.in/Renewed-Havells-Feasto-Pop-up-Toaster/dp/B09QNBKSGB/ref=sr_1_203?qid=1679214940&s=kitchen&sr=1-203,1.0,1,,"₹3,499"
"(Renewed) Hamilton Beach Metal 2 Slice Wide Slot Toaster, Bagel & Defrost Settings, Bun Warmer, Shade Selector, Toast Boos...","home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/61SMp904LPL._AC_UL320_.jpg,https://www.amazon.in/Hamilton-Beach-Settings-Selector-Slide-Out/dp/B09Q2XBMS4/ref=sr_1_204?qid=1679214940&s=kitchen&sr=1-204,2.0,1,"₹2,590","₹2,990"
USHA (Renewed) Racer 1200MM Ultra High Speed 400RPM Ceiling Fan White W/O REG,"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/31bHyLxb46S._AC_UL320_.jpg,https://www.amazon.in/Renewed-Racer-1200MM-400RPM-Ceiling/dp/B0936PNDHH/ref=sr_1_205?qid=1679214940&s=kitchen&sr=1-205,3.3,2,,
(Renewed) Havells Glanzo Garment Steamer 1650 Watt (Blue and Grey) (Glanzo-cr),"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/41ar18XakoL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Havells-Garment-Steamer-Glanzo-cr/dp/B08ZJ3WWHY/ref=sr_1_206?qid=1679214940&s=kitchen&sr=1-206,2.7,3,"₹5,298","₹6,099"
"(Renewed) Morphy Richards Quente Instant 3-Litre Vertical Water Heater, White","home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/41KZteNXGBL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Morphy-Richards-Instant-Vertical/dp/B08KLMVGR9/ref=sr_1_207?qid=1679214940&s=kitchen&sr=1-207,3.7,15,,
(Renewed) Crompton Solarium Qube 25 L Storage Water Heater with Installation Pipe (White and Black)_SWH 25LT(2425) Solariu...,"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/41WOJk3qikL._AC_UL320_.jpg,https://www.amazon.in/Certified-REFURBISHED-Crompton-Qube-Installation/dp/B08BCFS3H7/ref=sr_1_208?qid=1679214940&s=kitchen&sr=1-208,1.7,3,,
"USHA (Renewed) Bloom Daffodil Goodbye Dust Ceiling Fan 1250mm, Sparkle Red and Black","home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/21P1B2g2asL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Usha-Bloom-Daffodil-Goodbye/dp/B07ZS4BWTQ/ref=sr_1_209?qid=1679214940&s=kitchen&sr=1-209,3.4,3,"₹3,273","₹3,636"
(Renewed) Usha Mist Air ICY 400MM Wall Fan with Remote,"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/613mLHUtXIL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Usha-Mist-400MM-Remote/dp/B07V1TPF82/ref=sr_1_210?qid=1679214940&s=kitchen&sr=1-210,5.0,1,"₹3,172","₹4,155"
(Renewed) HUL Pureit Copper+ Mineral RO+UV+MF 8 Litre Water Purifier (Black/Copper),"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/61KiNxfgaQL._AC_UL320_.jpg,https://www.amazon.in/HUL-Pureit-Copper-Mineral-RO/dp/B07R9Q5WBJ/ref=sr_1_211?qid=1679214940&s=kitchen&sr=1-211,4.2,8,,
(Renewed) Usha Heavy Weight Iron Heavy Weigt 1.75 Kg - White,"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/31uwtdgzvDL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Usha-Heavy-Weight-Weigt/dp/B07PS9XGD2/ref=sr_1_212?qid=1679214940&s=kitchen&sr=1-212,1.0,1,,
(Renewed) Usha FH 3628 CT Fan Heater (Black),"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/31hE7jvertL._AC_UL320_.jpg,https://www.amazon.in/Renewed-Usha-3628-Heater-Black/dp/B07PJRLDXV/ref=sr_1_213?qid=1679214940&s=kitchen&sr=1-213,,,"₹5,040","₹7,960"
"Crompton Renewed Aura Prime Antidust Ceiling Fan (1200Mm, Titanium Effect), Standard","home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/31JHilxcPKL._AC_UL320_.jpg,https://www.amazon.in/Crompton-Aura-Prime-Antidust-Titanium/dp/B07NJK9KRL/ref=sr_1_214?qid=1679214940&s=kitchen&sr=1-214,4.5,3,"₹3,726","₹4,899"
USHA (Renewed) Striker Platinum 1200mm 80-watt Goodbye Dust Ceiling Fan with Anti Dust Feature (Deep Metallic Brown),"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/51FhX1p2BqL._AC_UL320_.jpg,https://www.amazon.in/CERTIFIED-REFURBISHED-Usha-Striker-Platinum/dp/B07HL3YVV3/ref=sr_1_215?qid=1679214940&s=kitchen&sr=1-215,2.8,2,"₹2,928","₹3,299"
USHA (Renewed) Aerostyle 1200mm 74-Watt Ceiling Fan (Rich Brown),"home, kitchen, pets",Refurbished & Open Box,https://m.media-amazon.com/images/I/31HSZwg9QfL._AC_UL320_.jpg,https://www.amazon.in/CERTIFIED-REFURBISHED-Usha-Aerostyle-74-Watt/dp/B07GPLXWQ7/ref=sr_1_216?qid=1679214940&s=kitchen&sr=1-216,2.9,4,,
